Test Case ID,Title,Category,Expected Result,Steps,Test Data
TC-001,"Raise Request for Doctor Activities",Positive,"Request raised successfully","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter valid details | Submit request","N/A"
TC-002,"Raise Request with Invalid Details",Negative,"Request not raised due to invalid details","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter invalid details | Submit request","N/A"
TC-003,"Raise Request with Mandatory Fields Empty",Negative,"Request not raised due to empty mandatory fields","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Leave mandatory fields empty | Submit request","N/A"
TC-004,"Raise Request with Special Characters",Edge,"Request raised successfully with special characters","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter details with special characters | Submit request","N/A"
TC-005,"Raise Request with Long Details",Edge,"Request raised successfully with long details","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter details with long text | Submit request","N/A"
TC-006,"Raise Request with Duplicate Details",Negative,"Request not raised due to duplicate details","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter duplicate details | Submit request","N/A"
TC-007,"Raise Request with Invalid Request Type",Negative,"Request not raised due to invalid request type","Navigate to Doctor Activities module | Click on Raise Request button | Select invalid request type | Enter valid details | Submit request","N/A"
TC-008,"Raise Request with No Request Type Selected",Negative,"Request not raised due to no request type selected","Navigate to Doctor Activities module | Click on Raise Request button | Do not select request type | Enter valid details | Submit request","N/A"
TC-009,"Raise Request with Valid Details and Multiple Request Types",Edge,"Request raised successfully with multiple request types","Navigate to Doctor Activities module | Click on Raise Request button | Select multiple request types | Enter valid details | Submit request","N/A"
TC-010,"Raise Request with Invalid Date",Negative,"Request not raised due to invalid date","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter invalid date | Submit request","N/A"
TC-011,"Raise Request with No Details Entered",Negative,"Request not raised due to no details entered","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Do not enter any details | Submit request","N/A"
TC-012,"Raise Request with Only Mandatory Fields",Edge,"Request raised successfully with only mandatory fields","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter only mandatory fields | Submit request","N/A"
TC-013,"Raise Request with Zero Values",Edge,"Request raised successfully with zero values","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter zero values | Submit request","N/A"
TC-014,"Raise Request with Future Date",Edge,"Request raised successfully with future date","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter future date | Submit request","N/A"
TC-015,"Raise Request with Past Date",Edge,"Request raised successfully with past date","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter past date | Submit request","N/A"
TC-016,"Raise Request with Same Request Type Multiple Times",Edge,"Request raised successfully with same request type multiple times","Navigate to Doctor Activities module | Click on Raise Request button | Select same request type multiple times | Enter valid details | Submit request","N/A"
TC-017,"Raise Request with Different Request Types",Edge,"Request raised successfully with different request types","Navigate to Doctor Activities module | Click on Raise Request button | Select different request types | Enter valid details | Submit request","N/A"
TC-018,"Raise Request with Long Request Type",Edge,"Request raised successfully with long request type","Navigate to Doctor Activities module | Click on Raise Request button | Select request type with long name | Enter valid details | Submit request","N/A"
TC-019,"Raise Request with Special Characters in Request Type",Edge,"Request raised successfully with special characters in request type","Navigate to Doctor Activities module | Click on Raise Request button | Select request type with special characters | Enter valid details | Submit request","N/A"
TC-020,"Raise Request with Very Long Details",Edge,"Request raised successfully with very long details","Navigate to Doctor Activities module | Click on Raise Request button | Select request type | Enter very long details | Submit request","N/A"
